aventura,nombre_ubicacion,latitud,longitud,descripcion,inglés
Santa MartaXplora,1. Origen de la Villa,40.95071134566318,-5.630797530988721,Plaza de la Iglesia de Santa Marta ,Plaza de la Iglesia of Santa Marta
Santa MartaXplora,2. Vestigios del Pasado,40.950407108105324,-5.630693530399303,Panel histórico de la Batalla de los Arapiles,Historical Panel – Battle of the Arapiles (Battle of Salamanca)
Santa MartaXplora,3. Patrona de Santa Marta,40.95018933304696,-5.630563443270727,Glorieta de la mujer santamartina,Roundabout of the Women of Santa Marta
Santa MartaXplora,4. Ayuntamiento,40.949150080295105,-5.630790089922149,Plaza de España,Plaza de España
Santa MartaXplora,5. Arte,40.949722380367845,-5.629270618554697,Mural Doctor Torres Villarroel,Doctor Torres Villarroel Mural
Santa MartaXplora,6. Ruta de los Murales,40.95001308665347,-5.629439597700798,Mural Carretera Madrid,Carretera Madrid Mural
Urban Escape,1. Rueda Aceña,40.9522987099381,-5.632480504558067,"Primera parada, Isla del Soto",First Stop – Isla del Soto
Urban Escape,2. Pájaro Carpintero 'Wenceslao',40.95216545611483,-5.631654560552113,"Ruta de Arte Emboscado, Isla del Soto",Emboscado Art Route – Isla del Soto
Urban Escape,3. Lápices de la Farola,40.951060505421275,-5.630696761001704,"Ruta de los Lápices, pasarela",Pencil Route – Walkways
Urban Escape,4. Mariposa,40.949241829940966,-5.630773596802085,"Ruta de los Bichos, Plaza de España",Bugs Route – Plaza de España
Urban Escape,5. Mural 'Mujer Historia y Pueblo',40.94911028258176,-5.630069153210581,"Ruta de los murales, junto al Ayuntamiento",Murals Route – Next to the Town Hall
Urban Escape,6. Garaje,40.949181007192294,-5.6291604781419995,Arte urbano en puertas de garajes,Urban art on garage doors
Urban Escape,7. Bolas de Billar,40.95032264396436,-5.627389984130646,Junto a la glorieta de San Blas,San Blas Roundabout
Urban Escape,8. Mural 'Océano',40.950672493127634,-5.628455754646255,"Última parada, Pasaje Santiago Mirat",Final Stop – Santiago Mirat Passage
Detectives en acción,1. Hormiga Matilda,40.95213693167115,-5.633651711086779,"Arte Emboscado, Isla del Soto",Emboscado Art – Isla del Soto
Detectives en acción,2. Libélula Azul,40.95223433666433,-5.6328778949975336,"Los Bichos del Soto, Centro de Interpretación",Bugs of the Soto – Interpretation Centre
Detectives en acción,3. Lápiz y Goma,40.95215412080652,-5.631345435687536,"Ruta de los lápices, Isla del Soto",Pencil Route – Isla del Soto
Detectives en acción,4. Pastor Alemán,40.94966564984236,-5.630538772517705,"Ruta de los Murales, ‘No al abandono’",Murals Route – “No to Abandonment”
Detectives en acción,5. Puerta Mágica,40.94926668150299,-5.6299212122517,Espacio ‘Isla del Soto Encantada’,“Enchanted Isla del Soto” Space
Detectives en acción,6. Cocodrilo,40.949195866626745,-5.628342662692132,Grafiti en una puerta de garaje,Graffiti on a garaje door
Detectives en acción,7. Abeja Maya,40.94550226294406,-5.62565685440694,"Ruta de los Murales, ‘Generación Millennial’",Murals Route – “Millennial Generation”
Detectives en acción,8. Minion Bob,40.948626398674854,-5.627790205814891,"Arte urbano, Edificio Sociocultural ",Urban Art – Sociocultural building 
