Oficina Virtual,Nombre,Descripción,Latitud,Longitud
Santa Marta Artística,Arte Contemporáneo,MAC José Fuentes<br>Espacio Serzo <br>Sala Protagonistas,40.94903821068262,-5.630767828997082
Santa Marta Artística,Museo del Grabado,Museo del Grabado y Obra Múltiple,40.950715570966466,-5.631181309935234
Santa Marta Artística,Espacio Agustín Casillas,Espacio de escultura,40.949733420918456,-5.629289383399149
Santa Marta Artística,Sala Tragaluz,Sala de Exposiciones,40.94862730746121,-5.627921456776943
Santa Marta Artística,Sala Miguel Delibes,Sala de Exposiciones,40.95225375214037,-5.632879158521092
Santa Marta Artística,Sala Protagonistas,Sala de Exposiciones,40.9491150877696,-5.630794930957536
Santa Marta Motera,Museo de la Moto Histórica,Colección de motos históricas y deportivas ,40.94911306191609,-5.627337563607579
Santa Marta Motera,Mural Homenaje a Alfonso Serrano,Mural dedicado al coleccionista del museo,40.94960534185012,-5.6286652570004225
Santa Marta Natural,Isla del Soto,Espacio natural junto al río Tormes,40.95264807709702,-5.636532175503943
Santa Marta Natural,Centro de Interpretación,Isla del Soto,40.952270516013584,-5.632678987163401
Santa Marta Natural,Pasarela desde la Aldehuela,Acceso a la Isla del Soto,40.95301270973846,-5.635148155783474
Santa Marta Natural,Pasarela desde la Fontana,Acceso a la Isla del Soto,40.953214853347895,-5.638477865332619
Santa Marta Natural,Pasarela desde la Plaza Iglesia,Acceso a la Isla del Soto,40.95188025018759,-5.6310139627174065
Santa Marta Natural,Zona de Juegos Infantil,Isla del Soto,40.95236180430131,-5.631334638361421
Santa Marta Natural,Merendero 1,Área de pícnic Isla del soto,40.95254645333534,-5.630554796617594
Santa Marta Natural,Merendero 2,Área de pícnic Isla del soto,40.95233686730648,-5.633317078438393
Santa Marta Natural,Puesto de Pesca 1,Zona habilitada para pesca en el río,40.95274881163165,-5.634369680137865
Santa Marta Natural,Puesto de Pesca 2,Zona habilitada para pesca en el río,40.953088483089815,-5.629951942905545
Santa Marta Natural,Puesto de Pesca 3,Zona habilitada para pesca en el río,40.95228627747778,-5.637824127492909
Santa Marta Natural,Puesto de Pesca 4,Zona habilitada para pesca en el río,40.95298248652032,-5.63531064236013
Santa Marta Natural,Zona Juego Mascotas,Área habilitada para perros,40.953628099408306,-5.638104821247804
Santa Marta Natural,Circuito de Trial,Circuito para bicicletas de trial,40.95458446212834,-5.638876729153158
Santa Marta Familiar,Isla del Soto,Espacio natural junto al río Tormes,40.95264807709702,-5.636532175503943
Santa Marta Familiar,Centro de Interpretación,Isla del Soto,40.952270516013584,-5.632678987163401
Santa Marta Familiar,Isla del Soto Encantada,Sala de Exposiciones,40.94928204234335,-5.629937204019709
Santa Marta Familiar,Mural ‘Generación Millennial’,Campo de fútbol Alfonso San Casto,40.94560212487235,-5.625581447785498
Santa Marta Familiar,Mural Océano,Ruta de los Murales,40.95067441736678,-5.628470781095177
Santa Marta Familiar,Lápices - Punto 1,Ruta de los Lápices,40.95322338759185,-5.637900680365301
Santa Marta Familiar,Lápices - Punto 2,Ruta de los Lápices,40.95231277691733,-5.635061845552752
Santa Marta Familiar,Lápices - Punto 3,Ruta de los Lápices,40.95217546151825,-5.63140644706071
Santa Marta Familiar,Lápices - Punto 4,Ruta de los Lápices,40.95105283721266,-5.630730230196973
Santa Marta Familiar,Lápices - Punto 5,Ruta de los Lápices,40.95019519719526,-5.633246905053849
Santa Marta Familiar,Lápices - Punto 6,Ruta de los Lápices,40.950571018347695,-5.637275498728344
Santa Marta Familiar,Escultura Mosquito,Ruta de los Bichos,40.949947057698786,-5.632746121861494
Santa Marta Familiar,Escultura Mariposa,Ruta de los Bichos,40.94925081664999,-5.630784455161196
Santa Marta Familiar,Escultura Gusano,Ruta de los Bichos,40.9502819253369,-5.630401690921166
Santa Marta Familiar,Escultura Libélula,Ruta de los Bichos,40.952267005147846,-5.63286095110753
