aventura,nombre_ubicacion,latitud,longitud,descripcion
Santa MartaXplora,1. Origen de la Villa,40.95071134566318,-5.630797530988721,Descubre el origen histórico de Santa Marta
Santa MartaXplora,2. Vestigios del Pasado,40.950407108105324,-5.630693530399303,Restos históricos de la villa
Santa MartaXplora,3. Patrona de Santa Marta,40.95018933304696,-5.630563443270727,Historia de la patrona del pueblo
Santa MartaXplora,4. Ayuntamiento,40.949150080295105,-5.630790089922149,Centro administrativo y cultural
Santa MartaXplora,5. Arte,40.949722380367845,-5.629270618554697,Expresiones artísticas locales
Santa MartaXplora,6. Ruta de los Murales,40.95001308665347,-5.629439597700798,Arte urbano y murales de la ciudad
Urban Escape,1. Rueda Aceña,40.9522987099381,-5.632480504558067,Primera parada del recorrido urbano
Urban Escape,2. Pájaro Carpintero 'Wenceslao',40.95216545611483,-5.631654560552113,Arte urbano en forma de pájaro
Urban Escape,3. Lápices de la Farola,40.951060505421275,-5.630696761001704,Creatividad urbana iluminada
Urban Escape,4. Mariposa,40.949241829940966,-5.630773596802085,Arte natural en la ciudad
Urban Escape,5. Mural 'Mujer Historia y Pueblo',40.94911028258176,-5.630069153210581,Mural histórico y cultural
Urban Escape,6. Garaje,40.949181007192294,-5.6291604781419995,Arte urbano en espacios cotidianos
Urban Escape,7. Bolas de Billar,40.95032264396436,-5.627389984130646,Instalación artística lúdica
Urban Escape,8. Mural 'Océano',40.950672493127634,-5.628455754646255,Última parada del recorrido artístico
Detectives en acción,1. Hormiga Matilda,40.95213693167115,-5.633651711086779,Primera parada de la aventura
Detectives en acción,2. Libélula Azul,40.95223433666433,-5.6328778949975336,Segunda parada de la aventura
Detectives en acción,3. Lápiz y Goma,40.95215412080652,-5.631345435687536,Tercera parada de la aventura
Detectives en acción,4. Pastor Alemán,40.94966564984236,-5.630538772517705,Cuarta parada de la aventura
Detectives en acción,5. Puerta Mágica,40.94926668150299,-5.6299212122517,Quinta parada de la aventura
Detectives en acción,6. Cocodrilo,40.949195866626745,-5.628342662692132,Sexta parada de la aventura
Detectives en acción,7. Abeja Maya,40.94550226294406,-5.62565685440694,Séptima parada de la aventura
Detectives en acción,8. Minion Bob,40.948626398674854,-5.627790205814891,Última parada de la aventura
Ejemplo (Colombia),Plaza de Bolívar,11.2403547,-74.2110227,Punto de inicio de la aventura
Ejemplo (Colombia),Centro Histórico,11.2413456,-74.2098765,Zona de murales y arte urbano
Ejemplo (Colombia),Mirador de la Ciudad,11.2389012,-74.2123456,Vista panorámica de Santa Marta
Ejemplo (Colombia),Mercado Público,11.2421234,-74.2087654,Experiencia cultural y gastronómica
Ejemplo (Colombia),Playa del Rodadero,11.2234567,-74.1876543,Playa icónica de Santa Marta
Ejemplo (Colombia),Catedral de Santa Marta,11.2410987,-74.2112345,Destino final de la aventura
