Oficina Virtual,Nombre,Descripción,Latitud,Longitud
Santa Marta Artística,MAC José Fuentes,Museo de Arte Contemporáneo,40.94903821068262,-5.630767828997082
Santa Marta Artística,Museo del Grabado,Museo del Grabado y Obra Múltiple,40.950715570966466,-5.631181309935234
Santa Marta Artística,Espacio Serzo,Espacio de exposiciones,40.94916213387142,-5.630791420405776
Santa Marta Artística,Espacio Agustín Casillas,Espacio de escultura,40.949733420918456,-5.629289383399149
Santa Marta Artística,Sala Tragaluz,Sala de Exposiciones,40.94862730746121,-5.627921456776943
Santa Marta Artística,Sala Miguel Delibes,Sala de Exposiciones,40.95225375214037,-5.632879158521092
Santa Marta Artística,Sala Protagonistas,Sala de Exposiciones,40.9491150877696,-5.630794930957536
Santa Marta Motera,Museo de la Moto Histórica,Museo con colección de motos clásicas,40.94911306191609,-5.627337563607579
Santa Marta Natural,Isla del Soto,Parque natural junto al río Tormes,40.95264807709702,-5.636532175503943
Santa Marta Natural,Centro de Interpretación,Centro de Interpretación de la Isla del Soto,40.952270516013584,-5.632678987163401
Santa Marta Natural,Pasarela desde La Aldehuela,Acceso a la Isla del Soto,40.95301270973846,-5.635148155783474
Santa Marta Natural,Pasarela desde Al Fontana,Acceso a la Isla del Soto,40.953214853347895,-5.638477865332619
Santa Marta Natural,Pasarela desde Plaza Iglesia,Acceso a la Isla del Soto,40.95188025018759,-5.6310139627174065
Santa Marta Familiar,Isla del Soto,Parque natural con zonas de juego y merenderos,40.95264807709702,-5.636532175503943
Santa Marta Familiar,Centro de Interpretación,Centro de Interpretación de la Isla del Soto,40.952270516013584,-5.632678987163401
Santa Marta Familiar,Isla del Soto Encantada,Espacio de cuentos y leyendas,40.94928204234335,-5.629937204019709
Santa Marta Familiar,Ruta de los Lápices - Punto 1,Inicio de la Ruta de los Lápices,40.95322338759185,-5.637900680365301
Santa Marta Familiar,Ruta de los Bichos - Punto 1,Inicio de la Ruta de los Bichos,40.949947057698786,-5.632746121861494
